Project Name,Category
CICN,"Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
CDEvents,"CI/CD & Site Reliability, Containers & Virtualization, Cross-Technology, DevOps, Networking & Edge, Web App Development"
Aether Project,"Containers & Virtualization, Networking & Edge"
Caliper,"Blockchain, CI/CD & Site Reliability, Containers & Virtualization, Cross-Technology, DevOps, Networking & Edge, System Administration, Web App Development"
Ceph Foundation,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Storage, System Administration, Web App Development"
Akraino,"Cloud, Containers & Virtualization, IoT & Embedded, Networking & Edge"
AsyncAPI,"Cloud, Containers & Virtualization, Web App Development"
Accessibility Theme Builder,"Containers & Virtualization, Cross-Technology, Web App Development"
CLAIMED,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
CI-Management (CI-Man),"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
Appium,"Containers & Virtualization, Web App Development"
Antrea,"Cloud, Containers & Virtualization, Networking & Edge"
All In,Open Source Compliance
Alliance for Open Media (AOM),"Containers & Virtualization, IoT & Embedded, Web App Development"
bpfman,"Cloud, Containers & Virtualization"
Backstage,"Cloud, Containers & Virtualization"
AAA,"Containers & Virtualization, Networking & Edge"
Baetyl,"Cloud, Containers & Virtualization, Networking & Edge"
http://AGENTS.md,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
BGP LS PCEP,"Containers & Virtualization, Networking & Edge"
ACRN Project,"Cloud, Containers & Virtualization, Safety-Critical Systems, System Engineering"
Chisel,"Containers & Virtualization, Cross-Technology, Networking & Edge, Open Hardware, Web App Development"
BFE,"CI/CD & Site Reliability, Cloud, Containers & Virtualization, DevOps, System Administration"
Armada,"Cloud, Containers & Virtualization"
cert-manager,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
Battery Data Alliance,"Containers & Virtualization, Safety-Critical Systems"
Angel,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
Airship Installer,"Cloud, Containers & Virtualization, Networking & Edge"
agentgateway,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
CLA Bot,"Containers & Virtualization, Cross-Technology, Networking & Edge, Open Source Compliance, Privacy & Security, Web App Development"
AGNTCY,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
Chaos Mesh,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
Carina,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
Barometer,"Cloud, Containers & Virtualization, Networking & Edge"
Apptainer,"Containers & Virtualization, Cross-Technology"
BabelTrace,"Containers & Virtualization, Linux Kernel, System Administration"
Active & Available Inventory (AAI),"Cloud, Containers & Virtualization, Networking & Edge"
Cloud Custodian,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
AI SIG,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
CHIPS Alliance Projects,"Containers & Virtualization, Cross-Technology, IoT & Embedded, Networking & Edge, Open Hardware, Web App Development"
Adversarial Robustness Toolbox,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
AI Governance Framework,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
Amundsen,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
Athenz,"Cloud, Containers & Virtualization"
AMReX,"Containers & Virtualization, Cross-Technology"
AMP,"Containers & Virtualization, Web App Development"
Architect,"Containers & Virtualization, Web App Development"
Besu,"Blockchain, Privacy & Security"
Adlik,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
AI Explainability 360,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
Chapel,"Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
CitrineOS,"Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
Academy Color Encoding System (ACES),"Containers & Virtualization, Visual Effects"
Artifact Hub,"Cloud, Containers & Virtualization"
Automotive Grade Linux (AGL),"Containers & Virtualization, IoT & Embedded, Linux Kernel, Networking & Edge, Safety-Critical Systems"
Agent2Agent,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
AI Fairness 360,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
Camara Fund,"Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
Capsule,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
BeeAI,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
Carbyne Stack,"Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
Augur,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
Accord Project,"Blockchain, Open Source Compliance"
Alliance for OpenUSD (AOUSD),"Containers & Virtualization, Cross-Technology"
CloudEvents,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
cdk8s,"Cloud, Containers & Virtualization, Cross-Technology, Networking & Edge, Web App Development"
Alliance for OpenUSD Fund (AOUSDF),"Containers & Virtualization, Cross-Technology"
Certifier Framework for Confidential Computing,"Containers & Virtualization, Cross-Technology, Networking & Edge, Privacy & Security, Web App Development"
Broadband Fund,"Containers & Virtualization, Networking & Edge"
Buildpacks,"CI/CD & Site Reliability, Cloud, Containers & Virtualization, DevOps, System Administration"
AgStack,"AI / ML / Data Analytics, Blockchain, Containers & Virtualization"
BOSH,"CI/CD & Site Reliability, Cloud, Containers & Virtualization, DevOps"
Aeraki Mesh,"Cloud, Containers & Virtualization"
